,date,open,close,high,low,volume,code
1587,2018-07-19,666.468,668.418,671.418,662.488,18078.0,600519
1588,2018-07-20,668.968,668.598,670.598,655.468,30548.0,600519
1589,2018-07-23,663.468,659.538,668.618,647.478,35969.0,600519
1590,2018-07-24,660.148,672.868,674.768,650.468,41808.0,600519
1591,2018-07-25,674.418,671.278,677.348,667.478,21743.0,600519
1592,2018-07-26,676.368,663.088,676.368,661.698,23067.0,600519
1593,2018-07-27,663.468,666.028,671.768,657.468,20913.0,600519
1594,2018-07-30,666.368,646.678,668.128,642.468,42171.0,600519
1595,2018-07-31,647.768,653.908,655.348,646.678,20683.0,600519
1596,2018-08-01,658.868,642.408,659.768,641.578,25237.0,600519
1597,2018-08-02,643.438,623.308,643.438,615.348,55001.0,600519
1598,2018-08-03,622.468,606.458,622.468,603.668,47336.0,600519
1599,2018-08-06,604.468,597.148,611.468,589.718,45248.0,600519
1600,2018-08-07,599.768,613.748,615.298,589.488,39085.0,600519
1601,2018-08-08,614.488,603.688,616.468,599.338,29685.0,600519
1602,2018-08-09,598.468,619.348,621.968,597.588,34485.0,600519
1603,2018-08-10,619.348,614.648,622.238,611.668,23817.0,600519
1604,2018-08-13,610.468,606.688,610.468,594.148,34570.0,600519
1605,2018-08-14,606.688,607.598,611.968,600.978,21696.0,600519
1606,2018-08-15,607.268,590.268,607.468,588.468,34997.0,600519
1607,2018-08-16,579.468,575.908,595.968,567.468,59939.0,600519
1608,2018-08-17,584.968,562.328,584.968,557.478,46574.0,600519
1609,2018-08-20,559.918,572.258,573.018,544.328,48852.0,600519
1610,2018-08-21,574.468,598.958,599.768,574.468,52249.0,600519
1611,2018-08-22,598.468,595.168,600.668,590.468,20675.0,600519
1612,2018-08-23,599.168,597.678,605.968,592.648,27357.0,600519
1613,2018-08-24,596.468,587.768,596.468,583.928,26090.0,600519
1614,2018-08-27,589.468,614.768,614.768,589.468,48016.0,600519
1615,2018-08-28,620.468,608.468,621.248,606.018,32488.0,600519
1616,2018-08-29,609.468,613.318,616.348,606.568,27404.0,600519
1617,2018-08-30,615.678,607.868,620.068,606.478,33788.0,600519
1618,2018-08-31,603.718,586.658,604.468,583.968,58980.0,600519
1619,2018-09-03,579.468,593.678,595.138,578.268,30179.0,600519
1620,2018-09-04,594.268,602.508,603.468,589.068,21540.0,600519
1621,2018-09-05,602.468,585.258,604.458,584.468,28983.0,600519
1622,2018-09-06,579.468,571.468,586.728,567.468,42370.0,600519
1623,2018-09-07,572.968,578.438,585.498,572.608,29240.0,600519
1624,2018-09-10,579.668,572.268,581.278,568.168,21202.0,600519
1625,2018-09-11,573.038,573.468,578.438,568.098,19496.0,600519
1626,2018-09-12,570.468,557.468,572.338,555.478,41157.0,600519
1627,2018-09-13,565.468,559.448,569.468,547.468,47713.0,600519
1628,2018-09-14,561.448,570.368,577.248,555.998,40900.0,600519
1629,2018-09-17,572.468,573.278,580.428,568.528,29112.0,600519
1630,2018-09-18,570.468,594.168,595.468,569.688,37858.0,600519
1631,2018-09-19,594.048,608.888,613.468,593.468,48221.0,600519
1632,2018-09-20,612.668,606.018,614.368,604.828,27519.0,600519
1633,2018-09-21,609.468,627.478,627.478,607.478,42617.0,600519
1634,2018-09-25,622.468,624.488,633.238,620.728,30639.0,600519
1635,2018-09-26,629.568,652.398,660.148,629.458,72287.0,600519
1636,2018-09-27,654.968,651.468,655.468,642.868,40508.0,600519
1637,2018-09-28,654.168,657.468,660.668,646.348,35089.0,600519
1638,2018-10-08,642.878,613.618,646.468,613.618,82745.0,600519
1639,2018-10-09,614.368,622.468,626.178,613.368,40222.0,600519
1640,2018-10-10,624.728,598.388,625.468,597.158,63098.0,600519
1641,2018-10-11,562.478,572.458,596.408,562.478,91581.0,600519
1642,2018-10-12,578.468,595.468,600.148,578.048,54472.0,600519
1643,2018-10-15,596.958,594.368,599.418,587.498,35607.0,600519
1644,2018-10-16,593.448,594.608,606.998,589.478,26393.0,600519
1645,2018-10-17,602.468,593.188,604.768,577.368,43077.0,600519
1646,2018-10-18,587.468,573.408,587.468,572.438,52156.0,600519
1647,2018-10-19,565.468,597.468,602.468,562.548,76199.0,600519
1648,2018-10-22,602.468,620.468,629.488,602.468,73108.0,600519
1649,2018-10-23,616.468,569.208,616.468,562.468,123112.0,600519
1650,2018-10-24,555.578,564.458,577.468,547.468,76112.0,600519
1651,2018-10-25,547.468,546.468,549.968,536.048,75568.0,600519
1652,2018-10-26,546.468,537.568,552.468,535.448,55327.0,600519
1653,2018-10-29,476.558,476.558,476.558,476.558,49076.0,600519
1654,2018-10-30,437.468,451.468,470.468,436.488,204396.0,600519
1655,2018-10-31,454.468,476.368,482.468,449.468,96884.0,600519
1656,2018-11-01,482.468,490.468,512.968,478.718,98106.0,600519
1657,2018-11-02,512.468,527.368,527.468,499.708,89156.0,600519
1658,2018-11-05,520.468,503.268,520.468,499.238,75517.0,600519
1659,2018-11-06,501.468,493.468,501.628,485.478,45566.0,600519
1660,2018-11-07,496.468,493.868,502.418,489.478,38107.0,600519
1661,2018-11-08,501.468,497.808,504.468,495.468,33763.0,600519
1662,2018-11-09,494.688,489.468,496.468,489.468,24336.0,600519
1663,2018-11-12,480.468,479.468,481.668,464.268,67824.0,600519
1664,2018-11-13,473.588,497.468,497.468,470.468,66429.0,600519
1665,2018-11-14,497.428,482.568,497.428,480.018,41766.0,600519
1666,2018-11-15,486.268,487.168,492.268,482.968,30833.0,600519
1667,2018-11-16,488.468,487.468,493.468,485.498,28938.0,600519
1668,2018-11-19,487.768,496.488,499.468,486.578,36179.0,600519
1669,2018-11-20,492.468,489.068,495.468,487.468,26943.0,600519
1670,2018-11-21,481.468,492.168,496.368,481.148,27107.0,600519
1671,2018-11-22,492.618,491.968,494.798,485.468,21213.0,600519
1672,2018-11-23,491.468,484.368,494.768,484.368,20126.0,600519
1673,2018-11-26,485.468,479.578,487.668,479.468,19120.0,600519
1674,2018-11-27,479.468,475.568,482.458,473.968,20233.0,600519
1675,2018-11-28,478.318,484.468,486.658,472.968,27737.0,600519
1676,2018-11-29,493.498,479.068,497.268,476.478,45069.0,600519
